G70,I'm not sure about that,,I ain't sure 'bout dat.,,,,,,,,,,,,,Alex_Im_not_sure_disagreeing,"start=""sp1:start"" end=""sp1:start+2""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+1.4'","start=""sp1:start"" end=""sp1:start+1.7""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+1.4'"
G71,"Yeah, that's right I think",,"Yeah, da'ss right I fink",,,,,,,,,,,,,,,
G72,"Wait, I don't think",,"Wait, I don't fink",,,,,,,,,,,,,,,
G73,"Yeah, I think so too.",,"Yeah, I fink so too.",,,,,,,,,,,,,Alex_Yeah_theyre_pretty_weird,"start=""sp1:start"" end=""sp1:start+2.4""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'","start=""sp1:start"" end=""sp1:start+1.7""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'"
G74,Think we're done?,,Fink we done?,,,,,,,,,,,,,,,
G75,I think we're done with this part now,,I fink we done with dis part now.,,,,,,,,,,,,,,,
G76,I don't think they're gonna think we talked about it enough,,I don't fink they gonna fink we talk about it enough,,,,,,,,,,,,,,,
G77,I guess it's our job to figure this stuff out.,,I guess i'ss our job to figure dis stuff out.,,,,,,,,,,,,,,"start=""sp1:start"" end=""sp1:start+3.2""","start=""sp1:start"" end=""sp1:start+2.55"""
G78,Oookay. Any ideas?,,Oookay. Any ideas?,,,,,,,,,,,,,Alex_Any_other_ideas,"start=""sp1:start"" end=""sp1:start+3.5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.1' end='sp1:start+1.8'","start=""sp1:start"" end=""sp1:start+2.8""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.1' end='sp1:start+1.8'"
G79,Hmm.. I think we got all of it.,,Hmm I fink we done got all of it.,,,,,,,,,,,,,, ,
G80,"I think now we have to, um, come up with our presentations. For the teacher.",,"I fink now we gotta, um, come up wif our presentations. For the teacher.",,,,,,,,,,,,,,,
,"Okay, I think it's time for us to have to do the teacher presentation part.",,"Okay, I fink i'ss time for us to have to do the teacher presentation part.",,,,,,,,,,,,,,,
G81,Think it's time for the presentation part?,,Fink is time for the presentation part?,,,,,,,,,,,,,,,
G82,I can go first.,,I can go first,,,,,,,,,,,,,,,
G83,I think we just have to like say the ideas we came up with.,,I fink we just gotta like say the ideas we came up wif.,,,,,,,,,,,,,,,
G84,My teacher says she's grading mine,,My teacher say she gradin' mine,,,,,,,,,,,,,,,
